 fabmastr        Tebo-ICT,  license #XingShang
RPR175         6.385    -6.535  270.0  E4   (T)  'R1206', 'R1206'
RPR176         6.020    -6.550  270.0  E4   (T)  'R0402_H16', 'R0402_H16'
RPR178         8.010    -6.590   90.0  F4   (T)  'R0402', 'R0402'
RPR179         8.135    -6.590  270.0  F4   (T)  'R0402', 'R0402'
RPR18          8.625    -2.265    0.0  F2   (T)  'R0402', 'R0402'
RPR180         8.240    -6.415  180.0  F4   (T)  'R0402', 'R0402'
RPR181         8.370    -6.320  270.0  F4   (T)  'MB_R0402', 'MB_R0402'
RPR182         8.055    -6.590  270.0  F4   (T)  'R0402_H16', 'R0402_H16'
RPR183         2.745    -1.660    0.0  B1   (T)  'R0402_H16', 'R0402_H16'
RPR184         2.745    -1.945    0.0  B2   (T)  'R0402_H16', 'R0402_H16'
RPR185         3.290    -1.980    0.0  C2   (T)  'R0402_H16', 'R0402_H16'
RPR188         8.645    -4.605    0.0  F3   (T)  'R0402_H16', 'R0402_H16'
RPR189         8.645    -4.645  180.0  F3   (T)  'R0402_H16', 'R0402_H16'
RPR190         3.290    -1.540    0.0  C1   (T)  'MB_R0402', 'MB_R0402'
RPR191         3.995    -1.680   90.0  C1   (T)  'MB_R0805', 'MB_R0805'
RPR192         3.290    -1.755    0.0  C2   (T)  'R0402', 'R0402'
RPR193         3.995    -1.955  180.0  C2   (T)  'MB_R0402', 'MB_R0402'
RPR194         3.995    -1.995  180.0  C2   (T)  'R0402', 'R0402'
RPR195         3.290    -1.795  180.0  C2   (T)  'R0402_H16', 'R0402_H16'
RPR196         2.725    -2.325  180.0  B2   (T)  'R0402_H16', 'R0402_H16'
RPR199         8.370    -1.000   90.0  F1   (T)  'MB_R0402', 'MB_R0402'
RPR2           8.410    -2.240  270.0  F2   (T)  'R0603_H24', 'R0603_H24'
RPR20          8.625    -1.745  180.0  F2   (T)  'R0402', 'R0402'
RPR200         8.625    -1.615  180.0  F1   (T)  'MB_R0402', 'MB_R0402'
RPR201         8.515    -1.615    0.0  F1   (T)  'MB_R0402', 'MB_R0402'
RPR202         2.920    -2.365  180.0  B2   (T)  'MB_R0402', 'MB_R0402'
RPR204         2.825    -2.325    0.0  B2   (T)  'MB_R0402', 'MB_R0402'
RPR205         2.825    -2.285    0.0  B2   (T)  'MB_R0402', 'MB_R0402'
RPR206         2.920    -2.325  180.0  B2   (T)  'MB_R0402', 'MB_R0402'
RPR21          8.515    -2.220  180.0  F2   (T)  'R0402', 'R0402'
RPR217         1.790    -2.730  270.0  B2   (T)  'R0402_H16', 'R0402_H16'
RPR218         1.830    -2.730   90.0  B2   (T)  'R0402', 'R0402'
RPR223         8.495    -3.410  180.0  F3   (T)  'R0402', 'R0402'
RPR224         8.495    -3.450  180.0  F3   (T)  'MB_R0402', 'MB_R0402'
RPR225         8.625    -3.450    0.0  F3   (T)  'MB_R0402', 'MB_R0402'
RPR226         8.625    -3.410    0.0  F3   (T)  'MB_R0402', 'MB_R0402'
RPR227         8.625    -3.370    0.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR23          8.625    -1.700    0.0  F2   (T)  'R0402', 'R0402'
RPR238         8.040    -6.135    0.0  F4   (T)  'MB_R0603', 'MB_R0603'
RPR24          8.395    -1.470  270.0  F1   (T)  'MB_R0402', 'MB_R0402'
RPR242         8.410    -6.320   90.0  F4   (T)  'R0402_H16', 'R0402_H16'
RPR25          8.625    -2.175  180.0  F2   (T)  'MB_R0402', 'MB_R0402'
RPR26          8.515    -1.745    0.0  F2   (T)  'R0402', 'R0402'
